hemis_credits_total,hemis_credits_passed,hemis_credits_failed,hemis_credit_pass_rate,target_success_75,matric_school_name,teaching_language,teacher_language_alternation_helped,school_language_same_as_home,english_language_level,school_fee_source,matric_class_size,school_location,school_facilities_count,school_facilities_used_count,school_commute_mode,used_online_learning,school_leadership_activity,school_meal_source,school_academic_achievement,home_resources_count,family_attended_university,home_location,general_support_source,has_dependents,number_of_dependents,has_disability_or_special_needs,plans_part_time_work,part_time_hours,concern_academic,concern_financial,concern_adjustment_belonging,concern_accommodation_transport,concern_safety_health,concern_time_management,concern_any,programme_choice,first_choice_influence,university_accommodation,accommodation_type,accommodation_internet,accommodation_backup_power,distance_from_campus,travel_to_campus,travel_time_to_8am,devices_owned_count,tuition_funding,accommodation_funding,living_expense_funding,applied_nsfas,nsfas_approved,father_employment_status,mother_employment_status
,,,,,Reivilo High School ,English,1.0,1.0,First,No fee-paying school,Between 41 and 60,Suburb/City/Town,13,13,Walking,1.0,1.0,Community based/NGO feeding programme,Bachelor,5,1.0,Suburb/City/Town,Both Parents,0.0,0.0,0.0,1.0,5.0,1,1,1,0,1,1,1,Second,Family,University Residence,Self Catering,1.0,0.0,,University bus service,Between 31 minutes and an hour,2,Parent/Parents,Parent/Parents,"Guardian e.g., grandparent, uncle, siblings etc.",1.0,0.0,Employed and earning salary/wages,Employed and earning salary/wages
,,,,,Mathew phosa secondary school ,Sepedi,1.0,1.0,First,No fee-paying school,Between 41 and 60,Public,10,6,Boarding school,0.0,,School based feeding programme,Bachelor,2,1.0,Rural Village,Family friend/Friend,0.0,0.0,0.0,1.0,11.0,0,1,0,0,1,0,1,First,The desire to make a difference,University Residence,Self Catering,1.0,1.0,,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,Unable to work/disabled and not receiving a disability grant
,,,,,Curro Acadamy ,English,0.0,0.0,Second,Trust fund,Between 20 and 30,Suburb/City/Town,12,10,School Bus,1.0,0.0,Parents provided lunch box.,Bachelor,2,1.0,Informal settlement,"Guardian e.g., grandparent, uncle, siblings etc..",0.0,0.0,0.0,0.0,0.0,1,1,1,0,1,1,1,First,Passion,University Residence,Self Catering,1.0,1.0,Between 15km and 19km,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,
,,,,,Hoërskool Voortrekkerhoogte ,English,1.0,0.0,First,Government scholarship/bursary,Between 20 and 30,Suburb/City/Town,11,11,Public Transport,1.0,0.0,Parents provided lunch box.,Bachelor,4,1.0,Township,Both Parents,0.0,0.0,0.0,0.0,0.0,1,1,1,0,1,1,1,Third,Passion,University Residence,Self Catering,0.0,1.0,Between 20km and 30km,University bus service,Between 31 minutes and an hour,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,
,,,,,Tshweni secondary school ,English,1.0,0.0,Second,"Bursary e.g., Sasol, Eskom etc.",Between 41 and 60,Rural Village,11,10,Walking,1.0,1.0,School based feeding programme,Bachelor,3,0.0,Rural Village,Both Parents,0.0,0.0,0.0,1.0,5.0,1,1,1,0,1,1,1,First,Job Security,University Residence,Self Catering,1.0,1.0,Greater than 30km,Own automobile/car,Between 1 and 2 hours,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,Employed and earning salary/wages
,,,,,Batswana Commercial Secondary School ,English,1.0,0.0,First,Government scholarship/bursary,Between 31 and 40,Private school,5,2,Boarding school,0.0,0.0,Three meals a day,Bachelor,6,0.0,Township,"Guardian e.g., grandparent, uncle, siblings etc..",1.0,1.0,0.0,1.0,5.0,0,0,0,0,0,1,1,First,Passion,University Residence,Catered,1.0,1.0,Between 15km and 19km,University bus service,Between 31 minutes and an hour,2,Government scholarship/bursary,Government scholarship/bursary,Government scholarship/bursary,,,,
,,,,,Mosupatsela Secondary School,Setswana,1.0,1.0,Second,No fee-paying school,Between 31 and 40,Township,11,11,School Bus,1.0,0.0,School based feeding programme,Bachelor,3,1.0,Township,Both Parents,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,1,1,First,The desire to make a difference,University Residence,Self Catering,1.0,1.0,Greater than 30km,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,
,,,,,Hammanskraal Secondary School ,English,1.0,1.0,First,No fee-paying school,Between 31 and 40,Public,5,5,School Bus,1.0,0.0,School based feeding programme,Bachelor,4,1.0,Township,Single Parent,0.0,0.0,0.0,0.0,0.0,1,1,1,0,1,0,1,First,The desire to make a difference,University Residence,Self Catering,1.0,1.0,Greater than 30km,University bus service,Between 31 minutes and an hour,2,NSFAS,NSFAS,NSFAS,1.0,0.0,,
,,,,,Nakgwadi secondary school ,Sepedi,1.0,0.0,First,No fee-paying school,Greater than 80,Rural Village,10,8,Dropped off by parent or relative,0.0,0.0,Community based/NGO feeding programme,Bachelor,2,1.0,Rural Village,Single Parent,1.0,2.0,0.0,0.0,0.0,1,1,1,0,1,1,1,First,The desire to make a difference,University Residence,Self Catering,1.0,0.0,Greater than 30km,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,
,,,,,Diepsloot Secondary no. 3,English,1.0,1.0,Second,No fee-paying school,Between 31 and 40,Township,7,5,Walking,0.0,0.0,School based feeding programme,Bachelor,1,1.0,Township,Both Parents,0.0,0.0,0.0,1.0,5.0,0,0,0,0,0,0,1,Second,Family,Accommodation,,,1.0,Between 10km and 14km,University bus service,Between 1 and 2 hours,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,
