hemis_credits_total,hemis_credits_passed,hemis_credits_failed,hemis_credit_pass_rate,target_success_75,matric_school_name,teaching_language,teacher_language_alternation_helped,school_language_same_as_home,english_language_level,school_fee_source,matric_class_size,school_location,school_facilities_count,school_facilities_used_count,school_commute_mode,used_online_learning,school_leadership_activity,school_meal_source,school_academic_achievement,home_resources_count,family_attended_university,home_location,general_support_source,has_dependents,number_of_dependents,has_disability_or_special_needs,plans_part_time_work,part_time_hours,concern_academic,concern_financial,concern_adjustment_belonging,concern_accommodation_transport,concern_safety_health,concern_time_management,concern_any,programme_choice,first_choice_influence,university_accommodation,accommodation_type,accommodation_internet,accommodation_backup_power,distance_from_campus,travel_to_campus,travel_time_to_8am,devices_owned_count,tuition_funding,accommodation_funding,living_expense_funding,applied_nsfas,nsfas_approved,father_employment_status,mother_employment_status
0.5,0.5,0.0,1.0,1.0,Boitumelong Secondary School ,English,1.0,1.0,Second,No fee-paying school,Between 41 and 60,Public,11,11,Public Transport,1.0,0.0,School based feeding programme,Bachelor,1,0.0,Informal settlement,Both Parents,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,Third,The desire to make a difference,University Residence,Self Catering,1.0,1.0,Greater than 30km,University bus service,Between 31 minutes and an hour,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,
1.0,1.0,0.0,1.0,1.0,Makala Secondary school ,English,1.0,0.0,Second,No fee-paying school,Greater than 80,Rural Village,4,5,Walking,0.0,0.0,School based feeding programme,Bachelor,2,1.0,Rural Village,"Guardian e.g., grandparent, uncle, siblings etc..",0.0,0.0,0.0,1.0,6.0,1,0,1,0,0,1,1,First,Job Security,University Residence,Self Catering,1.0,,Greater than 30km,University bus service,Between 31 minutes and an hour,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,
0.906,0.656,0.25,0.7240618101545254,0.0,Rantobeng High School ,Sepedi,1.0,0.0,Second,"Parents or guardians, Self-funded",Between 41 and 60,Rural Village,5,5,Walking,0.0,0.0,School based feeding programme,Bachelor,2,1.0,Rural Village,Both Parents,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,First,Family,University Residence,Self Catering,1.0,1.0,Greater than 30km,University bus service,Between 31 minutes and an hour,1,"Bursary e.g., Eskom, Sasol etc.","Bursary e.g., Eskom, Sasol etc","Bursary e.g., Eskom, Sasol etc.",0.0,0.0,Unemployed and receiving social grant,Employed and earning salary/wages
1.0,1.0,0.0,1.0,1.0,Lwamondo High School,Tshivenda,1.0,1.0,First,No fee-paying school,Between 41 and 60,Rural Village,10,8,Public Transport,0.0,0.0,Parents provided lunch money,Bachelor,4,1.0,Rural Village,Other (Please Specify),0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,1,1,First,Passion,University Residence,Self Catering,1.0,1.0,Between 20km and 30km,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,
1.0,1.0,0.0,1.0,1.0,Syanda Secondary school ,English,1.0,0.0,Second,No fee-paying school,Between 20 and 30,Rural Village,10,10,Walking,1.0,0.0,School based feeding programme,Bachelor,2,0.0,Rural Village,Both Parents,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,1,1,First,The desire to make a difference,University Residence,Self Catering,1.0,1.0,Between 6km and 9km,University bus service,Between 31 minutes and an hour,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,
1.0,1.0,0.0,1.0,1.0,Gija Ngove ,English,1.0,0.0,First,No fee-paying school,Between 61 and 80,Rural Village,8,8,Walking,0.0,0.0,School based feeding programme,Bachelor,4,1.0,Rural Village,Both Parents,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,First,Role Models,Accommodation,Self Catering,1.0,0.0,Between 20km and 30km,University bus service,Between 31 minutes and an hour,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,
0.08,0.08,0.0,1.0,1.0,Phunyako High  School,Sepedi,1.0,1.0,Second,No fee-paying school,Greater than 80,Rural Village,9,7,Walking,0.0,0.0,School based feeding programme,Bachelor,2,0.0,Rural Village,Both Parents,0.0,0.0,1.0,1.0,6.0,1,1,1,0,1,1,1,First,Passion,University Residence,Self Catering,1.0,1.0,Greater than 30km,University bus service,Between 31 minutes and an hour,3,NSFAS,NSFAS,NSFAS,1.0,1.0,,
0.9,0.9,0.0,1.0,1.0,ZAMA HIGH SCHOOL,IsiZulu,1.0,1.0,Second,No fee-paying school,Between 41 and 60,Public,8,6,Walking,0.0,1.0,School based feeding programme,Bachelor,2,1.0,Rural Village,"Guardian e.g., grandparent, uncle, siblings etc..",0.0,0.0,,1.0,,1,1,0,0,0,1,1,First,Passion,University Residence,Self Catering,1.0,,Between 10km and 14km,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,
1.0,1.0,0.0,1.0,1.0,Ramatshagalala secondary school ,Sepedi,1.0,1.0,First,No fee-paying school,Between 41 and 60,Rural Village,7,7,Walking,0.0,0.0,School based feeding programme,Bachelor,0,0.0,Rural Village,Both Parents,1.0,2.0,0.0,0.0,0.0,0,0,1,0,0,0,1,First,Passion,University Residence,Self Catering,1.0,1.0,Between 20km and 30km,University bus service,less than 30 minutes,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,
1.0,1.0,0.0,1.0,1.0,Nghonyama Secondary School ,English,1.0,1.0,Second,No fee-paying school,Between 41 and 60,Rural Village,9,8,Walking,0.0,1.0,School based feeding programme,Bachelor,1,0.0,Rural Village,Both Parents,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,1,First,Passion,University Residence,Catered,1.0,1.0,Between 20km and 30km,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,Employed and earning salary/wages,Unemployed and looking for work
